artifact_name,artifact_link
REPOSITORY EVALUATION TOOLCHAIN,https://github.com/gssi/metamodel-dataset-analysis-toolchain
RESHARPER,https://www.jetbrains.com/help/resharper/ReSharper_Command_Line_Tools.html
RESOURCE STANDARD METRICS,www.msquaredtechnologies.com.
RMINER,https://github.com/tsantalis/RefactoringMiner
SARIF,https://www.oasis-open.org/committees/tc_home.php?wg_abbrev=SARIF
SATD DETECTOR,"https://github.com/Tbabm/SATDDetector-Core
https://drive.google.com/drive/folders/1k2o4BsNt9O2v7c4P7ktlDbBmFiYEY--K"
SATDBAILIFF,https://github.com/smilevo/SATDBailiff
SCC,https://github.com/boyter/scc
SCIKIT-LEARN,https://scikit-learn.org/stable/
SDK4ED,https://sdk4ed.eu/
SEARCH-BASED SELF-ADAPTIVE SOFTWARE ENGINE (SSASE),https://github.com/taochen/ssase
SECURIFY,https://github.com/eth-sri/securify2
SEN4SMELLS,https://github.com/tommantonela/Sen4Smells
SFUZZ,https://contract.guardstrike.com/#/scan
SHELL CHECKER,https://github.com/koalaman/shellcheck
SIGRID,https://www.softwareimprovementgroup.com/solutions/sigrid-software-assurance-platform/
SIKULI,http://sikulix.com//
SIMIAN,www.harukizaemon.com/simian/
SKULD,https://www.skuld.ai/
SLITHER,https://github.com/crytic/slither
SMARTCHECK,https://github.com/smartdec/smartcheck
SOFTWARE ARCHINAUT,http://software-archinaut.com/
SOLHINT,https://github.com/protofire/solhint
SONAR,http://sonar
SONAR TD PLUGIN,http://msdn.microsoft.com/en-us/library/bb429476.aspx
SONAR-ISSUES-MINER,https://github.com/dvmarcilio/sonar-issues-miner
SONARCLOUD,https://sonarcloud.io/
SONARGRAPH,https://www.hello2morrow.com/products/sonargraph
SONARGRAPH-QUALITY,https://www.hello2morrow.com/products/sonargraph
SONARLINT,https://www.sonarsource.com/products/sonarlint/
SONARQUBE,https://www.sonarqube.org/
SOURCE MONITOR,https://www.campwoodsw.com/sourcemonitor.html/
SPACY,https://spacy.io/
SQALE PLUGIN OF THE SONAR,https://www.sonarplugins.com/sqale
SQUORE,https://www.squoring.com/en/produits/squore-software-analytics/
STAN,https://stan4j.com/
STRUCTURE 101,https://structure101.com/
STRUCTURE101,https://structure101.com/
SUCCINCT CODE COUNTER,https://github.com/boyter/scc
SYMFONYINSIGHT,https://insight.symfony.com/
TD BENCHMARKER,https://github.com/theoam/TDBenchmarker
TD-TRACKER,http://www2.fct.unesp.br/grupos/
TEAMSCALE,"www.teamscale.io
https://www.cqse.eu/en/products/teamscale/landing/"
TECHNICAL DEBT FORECASTING,https://sites.google.com/view/technical-debt-forecasting/main?authuser=0
TEDMA,Not Accessible
TENSORFLOW,https://www.tensorflow.org
TETRA,Not Accessible
TODO,https://todo.jasonet.co/
TOGETHER,https://www.microfocus.com/en-us/products/together/overview
UNDERSTAND,www.scitools.com
VISMINERTD,https://visminer.github.io
VISUAL PARADIGM,https://www.visual-paradigm.com/
VIZZMAINTAINANCE ECLIPSE PLUGIN.,http://www.arisa.se/products.php?lang=en
WORD2VEC,https://www.tensorflow.org/tutorials/text/word2vec
